prompt_level,prompt_id,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,L0_a,27,27,1.0,0.0,0.0,2.121693121693122,1.6932103939647947,1.8432302159463612,1.2941176470588236,1.4210628347335414,0.25925925925925924,0.0,0.0,0.0,1.8126703703703706,6.990370370370372,378,802
L1,L1_a,27,27,1.0,0.0,0.0,1.3862433862433863,0.9547359597652976,1.3741511018529136,1.0,0.9309808954889657,0.1111111111111111,0.0,0.0,0.2962962962962963,1.252777777777778,5.534777777777777,378,524
L2,L2_b,27,27,1.0,0.0,0.0,1.7857142857142858,1.3080469404861694,2.18474856448469,1.2222222222222223,1.6136084039128056,0.14814814814814814,0.0,0.0,0.2962962962962963,2.102137037037037,6.773259259259259,378,675
L3,L3_a,27,27,1.0,0.0,0.0,1.2751322751322751,0.9312657166806371,1.512616191592513,1.1176470588235294,1.0277779609833562,0.14814814814814814,0.0,0.0,0.6666666666666666,1.4060370370370368,5.937888888888889,378,482
L4,L4_a,27,27,1.0,0.0,0.0,1.664021164021164,1.3860016764459346,1.99197518368571,1.0,1.4948087711119986,0.2222222222222222,0.0,0.0,0.7037037037037037,1.8264925925925926,9.46674074074074,378,629
