prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L4_a,babble,10.0,3,3,1.0,0.0,0.0,1.0,0.7717391304347826,1.0,1.0,0.7736703719230867,0.0,0.0,0.0,1.0,0.7323666666666666,6.425999999999999,48,48
L4_a,babble,15.0,4,4,1.0,0.0,0.0,2.2941176470588234,1.8755364806866952,1.5303030303030303,1.25,0.9987130504229852,0.25,0.0,0.0,1.0,1.5303,10.381250000000001,34,78
L4_a,music,5.0,2,2,1.0,0.0,0.0,4.909090909090909,3.969465648854962,5.614583333333334,5.614583333333334,3.978021978021978,1.0,0.0,0.0,1.0,5.614599999999999,29.814999999999998,22,108
L4_a,music,10.0,2,2,1.0,0.0,0.0,1.853658536585366,1.588850174216028,1.9722222222222223,1.9722222222222223,1.7225609756097562,0.5,0.0,0.0,1.0,1.73305,17.769,41,76
L4_a,music,15.0,3,3,1.0,0.0,0.0,1.3571428571428572,1.0104166666666667,1.4444444444444444,1.3333333333333333,0.8576998050682261,0.0,0.0,0.0,1.0,1.4444333333333332,4.532333333333333,14,19
L4_a,noise,5.0,3,3,1.0,0.0,0.0,1.0,0.6947368421052632,1.0,1.0,0.5680309664318801,0.0,0.0,0.0,1.0,0.8261,5.527333333333334,38,38
L4_a,noise,10.0,2,2,1.0,0.0,0.0,0.96,0.5714285714285714,0.975,0.975,0.5132028580304442,0.0,0.0,0.0,1.0,0.825,5.825,25,24
