prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,19,19,1.0,0.0,0.0,1.748936170212766,1.6146603900470746,1.683973246395847,1.3,1.555878052721161,0.10526315789473684,0.0,0.0,0.0,1.625878947368421,5.819947368421052,235,411
L0,codeswitched,19,19,1.0,0.0,0.0,1.5746753246753247,1.485966735966736,1.5444876099703198,1.0,1.3799666592407194,0.10526315789473684,0.0,0.0,0.0,1.4275631578947368,6.046947368421052,308,485
L0,noisy,19,19,1.0,0.0,0.0,1.2927927927927927,1.0136363636363637,1.2345919511756096,1.1176470588235294,1.0445968132315933,0.0,0.0,0.0,0.0,1.130636842105263,3.6238421052631584,222,287
L1,clean,19,19,1.0,0.0,0.0,1.8808510638297873,1.4700739744451916,1.6366370213893433,1.0,1.281821142148698,0.15789473684210525,0.0,0.0,0.7368421052631579,1.5612842105263158,6.664421052631579,235,442
L1,codeswitched,19,19,1.0,0.0,0.0,1.7467532467532467,0.9610187110187111,1.6369734643626608,1.0,0.9616638652706759,0.05263157894736842,0.0,0.0,0.2631578947368421,1.5227842105263159,5.703052631578947,308,538
L1,noisy,19,19,1.0,0.0,0.0,1.135135135135135,0.9525974025974026,1.1884408871217322,1.0,1.0094694796221104,0.0,0.0,0.0,0.2631578947368421,1.070942105263158,3.5182631578947365,222,252
L2,clean,19,19,1.0,0.0,0.0,1.1787234042553192,0.9354404841963685,1.244200549192809,1.125,0.9754117897993005,0.05263157894736842,0.0,0.0,0.3684210526315789,1.200494736842105,3.9669999999999996,235,277
L2,codeswitched,19,19,1.0,0.0,0.0,1.7272727272727273,1.2785862785862785,1.577436314070663,1.0714285714285714,1.2338845648013836,0.10526315789473684,0.0,0.0,0.10526315789473684,1.4009315789473684,6.554157894736843,308,532
L2,noisy,19,19,1.0,0.0,0.0,2.1666666666666665,1.5025974025974025,3.703548999944881,1.0,2.4945959176467234,0.10526315789473684,0.0,0.0,0.21052631578947367,3.6473684210526316,6.134315789473684,222,481
L3,clean,19,19,1.0,0.0,0.0,1.5957446808510638,1.1277740416946873,1.4610561909710515,1.0588235294117647,0.993848678905576,0.15789473684210525,0.0,0.0,1.0,1.411757894736842,9.201684210526317,235,375
L3,codeswitched,19,19,1.0,0.0,0.0,1.844155844155844,1.119022869022869,1.7631179080853545,1.0,1.081668511686957,0.15789473684210525,0.0,0.0,0.21052631578947367,1.639157894736842,11.220789473684212,308,568
L3,noisy,19,19,1.0,0.0,0.0,1.9324324324324325,1.2538961038961038,2.741939309848853,1.0,2.0246140571281934,0.15789473684210525,0.0,0.0,1.0,2.6755684210526316,8.813578947368422,222,429
L4,clean,19,19,1.0,0.0,0.0,2.3617021276595747,1.78950907868191,2.251380512332525,1.0,1.6829816946216682,0.2631578947368421,0.0,0.0,1.0,2.1763315789473685,12.133894736842105,235,555
L4,codeswitched,19,19,1.0,0.0,0.0,2.211038961038961,1.8425155925155925,2.001263308143706,1.0,1.6547300727209395,0.3157894736842105,0.0,0.0,0.10526315789473684,1.9151526315789476,13.40715789473684,308,681
L4,noisy,19,19,1.0,0.0,0.0,1.7612612612612613,1.3454545454545455,1.7672713981924506,1.0,1.21161196080452,0.21052631578947367,0.0,0.0,1.0,1.6565894736842106,10.410526315789474,222,391
