prompt_level,prompt_id,prompt_hash,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2,L2_c,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,60,60,1.0,0.0,0.0,1.650185414091471,1.222328062488093,2.117697745571534,1.065126050420168,1.530892383447802,0.08333333333333333,0.0,0.0,0.23333333333333334,2.0006633333333332,5.3845833333333335,809,1335
L2,L2_a,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,60,60,1.0,0.0,0.0,1.9134734239802225,1.352257572871023,1.7202790220154605,1.05625,1.2577621368718925,0.08333333333333333,0.0,0.0,0.23333333333333334,1.6265450000000001,7.239383333333333,809,1548
L2,L2_b,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,60,60,1.0,0.0,0.0,2.477132262051916,1.9569441798437797,2.2102734692177246,1.1055555555555556,1.9645454893396503,0.25,0.0,0.0,0.45,2.1292816666666665,9.223366666666665,809,2004
