prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2_a,babble,10.0,3,3,1.0,0.0,0.0,2.75,1.9021739130434783,2.8934640522875816,0.6470588235294118,1.760401284174252,0.3333333333333333,0.0,0.0,1.0,3.3006666666666664,8.520000000000001,48,132
L2_a,babble,15.0,4,4,1.0,0.0,0.0,0.5294117647058824,0.2145922746781116,0.7159090909090909,0.75,0.3470584537871467,0.0,0.0,0.0,1.0,0.988625,4.04725,34,18
L2_a,music,5.0,2,2,1.0,0.0,0.0,0.6363636363636364,0.2900763358778626,0.6979166666666667,0.6979166666666667,0.28585164835164834,0.0,0.0,0.0,1.0,1.08335,4.282500000000001,22,14
L2_a,music,10.0,2,2,1.0,0.0,0.0,0.7560975609756098,0.2613240418118467,0.7524154589371981,0.7524154589371981,0.25609756097560976,0.0,0.0,0.0,1.0,0.9565,5.599,41,31
L2_a,music,15.0,3,3,1.0,0.0,0.0,1.0714285714285714,0.5208333333333334,1.222222222222222,1.0,0.5480367585630743,0.0,0.0,0.0,1.0,1.2592666666666668,3.5100000000000002,14,15
L2_a,noise,5.0,4,4,1.0,0.0,0.0,0.673469387755102,0.17032967032967034,0.7179993919124354,0.754180602006689,0.17834121912252676,0.0,0.0,0.0,1.0,1.109525,4.8425,49,33
L2_a,noise,10.0,2,2,1.0,0.0,0.0,0.88,0.55,0.925,0.925,0.5251630941286114,0.0,0.0,0.0,1.0,0.7250000000000001,3.9864999999999995,25,22
L2_b,babble,10.0,3,3,1.0,0.0,0.0,0.6875,0.2418478260869565,0.6908496732026145,0.7058823529411765,0.23935333338495401,0.0,0.0,0.0,1.0,1.1647,5.411333333333334,48,33
L2_b,babble,15.0,4,4,1.0,0.0,0.0,0.6764705882352942,0.2575107296137339,0.803030303030303,0.8333333333333333,0.34799254599593776,0.0,0.0,0.0,1.0,0.988625,4.067,34,23
L2_b,music,5.0,2,2,1.0,0.0,0.0,0.7272727272727273,0.26717557251908397,0.7604166666666667,0.7604166666666667,0.2693681318681319,0.0,0.0,0.0,1.0,1.08335,4.318,22,16
L2_b,music,10.0,2,2,1.0,0.0,0.0,0.7317073170731707,0.2578397212543554,0.7306763285024154,0.7306763285024154,0.25,0.0,0.0,0.0,1.0,0.90095,5.5745000000000005,41,30
L2_b,music,15.0,3,3,1.0,0.0,0.0,1.0,0.4166666666666667,1.1851851851851851,0.8888888888888888,0.3840155945419103,0.0,0.0,0.0,1.0,1.2592666666666668,3.4453333333333336,14,14
L2_b,noise,5.0,4,4,1.0,0.0,0.0,0.5510204081632653,0.1510989010989011,0.6444207965947096,0.6070234113712374,0.1709965914594915,0.0,0.0,0.0,1.0,1.07945,4.85025,49,27
L2_b,noise,10.0,2,2,1.0,0.0,0.0,0.8,0.5642857142857143,0.875,0.875,0.5723827275551413,0.0,0.0,0.0,1.0,0.825,3.8970000000000002,25,20
L2_c,babble,10.0,3,3,1.0,0.0,0.0,0.7708333333333334,0.19293478260869565,0.7675653594771242,0.8125,0.20459493830041964,0.0,0.0,0.0,1.0,1.2690333333333335,5.167000000000001,48,37
L2_c,babble,15.0,4,4,1.0,0.0,0.0,1.0294117647058822,0.5321888412017167,1.053030303030303,1.0227272727272727,0.6804981907278499,0.0,0.0,0.0,0.5,1.223475,3.566,34,35
L2_c,music,5.0,2,2,1.0,0.0,0.0,0.5909090909090909,0.25190839694656486,0.6145833333333333,0.6145833333333333,0.2583791208791209,0.0,0.0,0.0,1.0,1.0,4.1425,22,13
L2_c,music,10.0,2,2,1.0,0.0,0.0,0.7073170731707317,0.21602787456445993,0.7149758454106281,0.7149758454106281,0.22459349593495936,0.0,0.0,0.0,1.0,1.0434999999999999,5.503500000000001,41,29
L2_c,music,15.0,3,3,1.0,0.0,0.0,0.9285714285714286,0.46875,0.8888888888888888,1.0,0.4475076580339738,0.0,0.0,0.0,1.0,1.0,3.2596666666666665,14,13
L2_c,noise,5.0,4,4,1.0,0.0,0.0,0.6122448979591837,0.15384615384615385,0.6770294922468836,0.6722408026755853,0.18696724234735063,0.0,0.0,0.0,1.0,1.0602,4.625500000000001,49,30
L2_c,noise,10.0,2,2,1.0,0.0,0.0,0.88,0.45,0.925,0.925,0.4621000310655483,0.0,0.0,0.0,1.0,0.875,4.112,25,22
