winner,challenger,n_paired,mean_delta_wer,ci95_low,ci95_high,winner_better_probability,stable_direction_95pct
L2_b,L2_c,60,-0.19045620018514792,-0.27287012279659334,-0.11200666457230053,1.0,True
L2_b,L2_a,60,-0.23279784614322688,-0.5249602045654678,-0.06866816611423866,1.0,True
