prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,19,19,1.0,0.0,0.0,1.2595744680851064,1.0020174848688634,1.2342643209903272,1.2272727272727273,1.018258425320001,0.0,0.0,0.0,0.05263157894736842,1.221736842105263,3.4188421052631583,235,296
L0,codeswitched,19,19,1.0,0.0,0.0,1.146103896103896,0.9168399168399168,1.143030562876065,1.0625,0.9179164887358405,0.0,0.0,0.0,0.0,1.1913842105263157,3.909368421052632,308,353
L0,noisy,19,19,1.0,0.0,0.0,1.1981981981981982,0.9844155844155844,1.4218355665438047,1.2222222222222223,1.0618167494125537,0.10526315789473684,0.0,0.0,0.10526315789473684,1.3557526315789474,3.571421052631579,222,266
L1,clean,19,19,1.0,0.0,0.0,0.6425531914893617,0.31741761936785473,0.6297404135252432,0.6,0.29726801362835864,0.0,0.0,0.0,1.0,0.9731000000000001,4.27678947368421,235,151
L1,codeswitched,19,19,1.0,0.0,0.0,0.7435064935064936,0.47765072765072764,0.7443601647864281,0.7647058823529411,0.4712521470057997,0.0,0.0,0.0,0.05263157894736842,0.9856526315789476,4.891631578947368,308,229
L1,noisy,19,19,1.0,0.0,0.0,0.6936936936936937,0.2961038961038961,0.750937465714017,0.7058823529411765,0.3530585210475839,0.0,0.0,0.0,1.0,1.025978947368421,4.237157894736842,222,154
L2,clean,19,19,1.0,0.0,0.0,0.5872340425531914,0.39744451916610624,0.6200401722460545,0.5294117647058824,0.3765783244307026,0.0,0.0,0.0,1.0,0.9884842105263157,5.006000000000001,235,138
L2,codeswitched,19,19,1.0,0.0,0.0,0.6525974025974026,0.3503118503118503,0.6618715637781212,0.6111111111111112,0.3528564680694675,0.0,0.0,0.0,0.05263157894736842,0.9772105263157895,5.121,308,201
L2,noisy,19,19,1.0,0.0,0.0,0.7162162162162162,0.2733766233766234,0.8308662421244867,0.7391304347826086,0.3152802392694602,0.0,0.0,0.0,1.0,1.0612000000000001,4.468000000000001,222,159
L3,clean,19,19,1.0,0.0,0.0,0.5191489361702127,0.21519838601210492,0.5627530450285868,0.5333333333333333,0.226846427133048,0.0,0.0,0.0,1.0,0.9962052631578948,7.454368421052631,235,122
L3,codeswitched,19,19,1.0,0.0,0.0,0.5616883116883117,0.26507276507276506,0.5709480982893853,0.5789473684210527,0.2737605955909367,0.0,0.0,0.0,0.05263157894736842,0.910421052631579,8.137894736842105,308,173
L3,noisy,19,19,1.0,0.0,0.0,0.6711711711711712,0.23246753246753246,0.923631919336254,0.6666666666666666,0.47168256164253836,0.05263157894736842,0.0,0.0,1.0,1.2424105263157894,7.7728947368421055,222,149
L4,clean,19,19,1.0,0.0,0.0,0.5063829787234042,0.20174848688634836,0.5318061926034062,0.5,0.2116006655451812,0.0,0.0,0.0,1.0,0.9863368421052632,14.262894736842105,235,119
L4,codeswitched,19,19,1.0,0.0,0.0,0.5487012987012987,0.25727650727650725,0.5573474968620946,0.5555555555555556,0.2669900452007505,0.0,0.0,0.0,0.05263157894736842,0.9203789473684211,15.076263157894738,308,169
L4,noisy,19,19,1.0,0.0,0.0,0.5900900900900901,0.17987012987012987,0.7246373974584366,0.625,0.22542728112087032,0.0,0.0,0.0,1.0,1.0497052631578947,14.369999999999996,222,131
