prompt_level,prompt_id,prompt_hash,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2,L2_b,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,30,30,1.0,0.0,0.0,0.7423167848699763,0.30520714557202583,0.815941967790265,0.7403846153846154,0.3408669378216756,0.0,0.0,0.0,0.7666666666666667,1.1070033333333333,8.490633333333333,423,314
L2,L2_c,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,30,30,1.0,0.0,0.0,0.806146572104019,0.34017483846446217,0.8812453564571728,0.8366666666666667,0.38178142866099135,0.0,0.0,0.0,0.6,1.1124333333333332,7.639333333333331,423,341
L2,L2_a,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,30,30,1.0,0.0,0.0,0.8392434988179669,0.32839224629418473,0.9153634174992534,0.8500000000000001,0.36682722301821574,0.03333333333333333,0.0,0.0,0.6666666666666666,1.1285566666666669,7.841,423,355
