winner,challenger,n_paired,mean_delta_wer,ci95_low,ci95_high,winner_better_probability,stable_direction_95pct
L1_b,L1_a,30,-0.00945401214113526,-0.072147415098421,0.0484191750422543,0.5915,False
L1_b,L1_c,30,-0.15733354834549393,-0.5728956306223609,0.06054335526591502,0.699,False
