prompt_level,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,clean,9,9,1.0,0.0,0.0,1.018348623853211,0.3422222222222222,1.2588598402323892,1.2352941176470589,0.44524396136197425,0.1111111111111111,0.0,0.0,0.7777777777777778,1.3059,5.84588888888889,109,111
L0,codeswitched,9,9,1.0,0.0,0.0,0.8993288590604027,0.40232312565997885,0.9990152851263961,1.0833333333333333,0.43996178947157777,0.0,0.0,0.0,0.0,1.2066555555555556,7.5440000000000005,149,134
L0,noisy,9,9,1.0,0.0,0.0,2.625,1.5589005235602094,2.203012195731494,1.375,1.2907371042978224,0.2222222222222222,0.0,0.0,0.7777777777777778,2.3116000000000003,9.859777777777778,120,315
L1,clean,9,9,1.0,0.0,0.0,0.8165137614678899,0.29333333333333333,0.8378449527959332,0.7058823529411765,0.34750889634731724,0.0,0.0,0.0,0.8888888888888888,1.0328777777777778,6.684888888888889,109,89
L1,codeswitched,9,9,1.0,0.0,0.0,0.7114093959731543,0.3632523759239704,0.7876219870664315,0.68,0.3905756455023557,0.0,0.0,0.0,0.0,1.0869777777777778,7.6608888888888895,149,106
L1,noisy,9,9,1.0,0.0,0.0,0.8833333333333333,0.3730366492146597,0.8885799970010496,1.0,0.4287133084924031,0.0,0.0,0.0,0.8888888888888888,1.0923,6.965222222222223,120,106
L2,clean,9,9,1.0,0.0,0.0,0.7889908256880734,0.24888888888888888,0.8279684095860566,0.7058823529411765,0.3015659531379923,0.0,0.0,0.0,1.0,1.1052444444444445,7.742,109,86
L2,codeswitched,9,9,1.0,0.0,0.0,0.6174496644295302,0.30623020063357975,0.7145414462081129,0.64,0.31406209964316456,0.0,0.0,0.0,0.3333333333333333,1.0709444444444445,9.139777777777777,149,92
L2,noisy,9,9,1.0,0.0,0.0,0.875,0.35209424083769636,0.9467683810666266,0.9473684210526315,0.4169250736655846,0.0,0.0,0.0,1.0,1.1893333333333334,8.60388888888889,120,105
L3,clean,9,9,1.0,0.0,0.0,1.4495412844036697,1.0222222222222221,2.353858024691358,1.0666666666666667,1.3579328557756993,0.3333333333333333,0.0,0.0,1.0,2.2814,11.104222222222225,109,158
L3,codeswitched,9,9,1.0,0.0,0.0,1.1006711409395973,0.7265047518479408,1.167328042328042,1.0,0.7208715966924376,0.1111111111111111,0.0,0.0,0.0,1.1551777777777779,11.681111111111111,149,164
L3,noisy,9,9,1.0,0.0,0.0,1.4333333333333333,1.0183246073298429,2.3219135802469135,1.4166666666666667,1.5895166669131957,0.3333333333333333,0.0,0.0,1.0,2.2361999999999997,11.460666666666667,120,172
L4,clean,9,9,1.0,0.0,0.0,0.7431192660550459,0.277037037037037,0.943346042120552,0.9333333333333333,0.28905767655139364,0.0,0.0,0.0,1.0,1.1607333333333334,17.566,109,81
L4,codeswitched,9,9,1.0,0.0,0.0,0.6912751677852349,0.4160506863780359,0.6951940035273368,0.625,0.38090837208083006,0.0,0.0,0.0,0.1111111111111111,0.9340444444444446,18.70322222222222,149,103
L4,noisy,9,9,1.0,0.0,0.0,0.9833333333333333,0.5523560209424084,1.7764994751836858,1.0,1.0843011470884372,0.1111111111111111,0.0,0.0,1.0,1.844211111111111,18.951333333333334,120,118
