prompt_id,cmi_band,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L1_a,heavy,3,3,1.0,0.0,0.0,0.7049180327868853,0.3687150837988827,0.7486111111111112,0.8125,0.3682163557649189,0.0,0.0,0.0,0.0,1.0125,8.994,61,43
L1_a,light,4,4,1.0,0.0,0.0,0.631578947368421,0.3662551440329218,0.7210185185185185,0.7383333333333333,0.4192021568283133,0.0,0.0,0.0,0.0,0.9622999999999999,7.99625,76,48
L1_a,moderate,3,3,1.0,0.0,0.0,1.0357142857142858,0.3544973544973545,0.9781746031746031,1.125,0.3684343434343435,0.0,0.0,0.0,0.0,1.2440333333333333,5.681,28,29
L1_b,heavy,3,3,1.0,0.0,0.0,0.6557377049180327,0.3659217877094972,0.6819444444444445,0.6666666666666666,0.36492386597580495,0.0,0.0,0.0,0.0,0.9680333333333332,9.025,61,40
L1_b,light,4,4,1.0,0.0,0.0,0.6578947368421053,0.35185185185185186,0.7301851851851853,0.7566666666666667,0.3982962334833655,0.0,0.0,0.0,0.0,1.00315,8.25125,76,50
L1_b,moderate,3,3,1.0,0.0,0.0,1.0357142857142858,0.3862433862433862,0.9781746031746031,1.125,0.39589646464646466,0.0,0.0,0.0,0.0,1.2678666666666667,5.7923333333333344,28,29
L1_c,heavy,3,3,1.0,0.0,0.0,0.639344262295082,0.35195530726256985,0.6708333333333333,0.6666666666666666,0.3518770754141049,0.0,0.0,0.0,0.0,0.9569333333333333,9.006,61,39
L1_c,light,4,4,1.0,0.0,0.0,0.6973684210526315,0.3765432098765432,0.7818518518518518,0.8183333333333334,0.430958503929488,0.0,0.0,0.0,0.0,1.0239749999999999,8.291,76,53
L1_c,moderate,3,3,1.0,0.0,0.0,1.0714285714285714,0.32275132275132273,1.0515873015873016,1.0714285714285714,0.3483585858585858,0.0,0.0,0.0,0.0,1.2440333333333333,5.8629999999999995,28,30
