prompt_id,prompt_hash,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0_a,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,clean,10,10,1.0,0.0,0.0,1.0317460317460319,0.3359477124183007,1.2447385620915032,1.1764705882352942,0.4296084541146657,0.1,0.0,0.0,0.8,1.30472,6.038600000000001,126,130
L0_a,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,codeswitched,10,10,1.0,0.0,0.0,0.9151515151515152,0.4036786060019361,1.0053637566137565,1.0729166666666665,0.43782607564069903,0.0,0.0,0.0,0.0,1.2047400000000001,7.574600000000001,165,151
L0_a,9638eac5dcb19d2df01248e7c843367eedd141115fa844ceb0e66e66fd5ca906,noisy,10,10,1.0,0.0,0.0,2.4696969696969697,1.4585834333733494,2.074377642825011,1.3541666666666665,1.1964460025636923,0.2,0.0,0.0,0.8,2.18044,9.5501,132,326
