prompt_id,cmi_band,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0_a,heavy,3,3,1.0,0.0,0.0,0.8852459016393442,0.4134078212290503,0.9541666666666666,1.0625,0.4152602396409158,0.0,0.0,0.0,0.0,1.1514,9.294,61,54
L0_a,light,4,4,1.0,0.0,0.0,0.8289473684210527,0.4012345679012346,0.8796296296296295,0.9583333333333333,0.4338775851286364,0.0,0.0,0.0,0.0,1.114075,8.07525,76,63
L0_a,moderate,3,3,1.0,0.0,0.0,1.2142857142857142,0.3915343915343915,1.224206349206349,1.2142857142857142,0.46565656565656566,0.0,0.0,0.0,0.0,1.3789666666666667,5.187666666666666,28,34
