prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L1_a,babble,10.0,3,3,1.0,0.0,0.0,1.0,0.28532608695652173,1.0053921568627453,0.9411764705882353,0.28881402665764044,0.0,0.0,0.0,1.0,1.2390333333333334,10.093666666666666,48,48
L1_a,babble,15.0,4,4,1.0,0.0,0.0,10.470588235294118,8.296137339055795,17.96212121212121,4.257575757575758,15.091538571513084,0.5,0.0,0.0,1.0,18.018925,36.10825,34,356
L1_a,music,5.0,2,2,1.0,0.0,0.0,1.0454545454545454,0.5190839694656488,1.1354166666666665,1.1354166666666665,0.5487637362637363,0.0,0.0,0.0,1.0,1.2604,5.864999999999999,22,23
L1_a,music,10.0,2,2,1.0,0.0,0.0,1.146341463414634,0.37630662020905925,1.1606280193236715,1.1606280193236715,0.3800813008130081,0.0,0.0,0.0,1.0,1.27535,11.34,41,47
L1_a,music,15.0,3,3,1.0,0.0,0.0,1.3571428571428572,0.46875,1.3148148148148149,1.4444444444444444,0.45293790030632136,0.0,0.0,0.0,1.0,1.2407666666666668,3.27,14,19
L1_a,noise,5.0,4,4,1.0,0.0,0.0,1.2040816326530612,0.4065934065934066,0.9362268166615992,1.1906354515050168,0.34702647311843504,0.0,0.0,0.0,1.0,1.29575,6.8652500000000005,49,59
L1_a,noise,10.0,2,2,1.0,0.0,0.0,0.84,0.4142857142857143,0.825,0.825,0.4268406337371855,0.0,0.0,0.0,1.0,1.0,5.6129999999999995,25,21
L1_b,babble,10.0,3,3,1.0,0.0,0.0,1.1458333333333333,0.421195652173913,1.1477124183006537,1.1764705882352942,0.4477455234757805,0.0,0.0,0.0,1.0,1.2120666666666666,9.249666666666664,48,55
L1_b,babble,15.0,4,4,1.0,0.0,0.0,1.1176470588235294,0.5150214592274678,1.075757575757576,1.0681818181818183,0.5320291701997595,0.0,0.0,0.0,1.0,1.121225,5.14325,34,38
L1_b,music,5.0,2,2,1.0,0.0,0.0,0.8636363636363636,0.4961832061068702,0.90625,0.90625,0.5112637362637362,0.0,0.0,0.0,1.0,1.0,5.5905,22,19
L1_b,music,10.0,2,2,1.0,0.0,0.0,1.170731707317073,0.4250871080139373,1.1944444444444444,1.1944444444444444,0.4349593495934959,0.0,0.0,0.0,1.0,1.2814,11.0795,41,48
L1_b,music,15.0,3,3,1.0,0.0,0.0,1.1428571428571428,0.3229166666666667,1.0555555555555556,1.3333333333333333,0.22556390977443608,0.0,0.0,0.0,1.0,1.3148,3.0396666666666667,14,16
L1_b,noise,5.0,4,4,1.0,0.0,0.0,5.285714285714286,2.934065934065934,5.737154150197628,1.0652173913043477,3.3618772395279857,0.25,0.0,0.0,1.0,5.73005,22.9885,49,259
L1_b,noise,10.0,2,2,1.0,0.0,0.0,0.92,0.4642857142857143,0.875,0.875,0.458372165268717,0.0,0.0,0.0,1.0,1.05,5.628,25,23
L1_c,babble,10.0,3,3,1.0,0.0,0.0,0.8958333333333334,0.28804347826086957,0.9019607843137255,1.0,0.300749642434828,0.0,0.0,0.0,1.0,1.1762333333333332,10.293333333333335,48,43
L1_c,babble,15.0,4,4,1.0,0.0,0.0,5.294117647058823,4.390557939914163,3.037878787878788,1.9166666666666667,2.26753527341208,0.5,0.0,0.0,1.0,2.9659,19.624,34,180
L1_c,music,5.0,2,2,1.0,0.0,0.0,1.3636363636363635,0.9389312977099237,1.3541666666666665,1.3541666666666665,0.8509615384615384,0.0,0.0,0.0,1.0,1.41665,7.277,22,30
L1_c,music,10.0,2,2,1.0,0.0,0.0,1.1219512195121952,0.3902439024390244,1.1388888888888888,1.1388888888888888,0.39634146341463417,0.0,0.0,0.0,1.0,1.2536,11.411,41,46
L1_c,music,15.0,3,3,1.0,0.0,0.0,1.2857142857142858,0.3958333333333333,1.1296296296296295,1.5,0.2626009468114731,0.0,0.0,0.0,1.0,1.3889000000000002,3.126333333333333,14,18
L1_c,noise,5.0,4,4,1.0,0.0,0.0,5.204081632653061,3.0274725274725274,5.441699604743083,1.0652173913043477,3.3980596982556084,0.25,0.0,0.0,1.0,5.8096,23.138749999999998,49,255
L1_c,noise,10.0,2,2,1.0,0.0,0.0,0.92,0.42857142857142855,0.95,0.95,0.41037589313451384,0.0,0.0,0.0,1.0,1.125,5.5969999999999995,25,23
