winner,challenger,n_paired,mean_delta_wer,ci95_low,ci95_high,winner_better_probability,stable_direction_95pct
L1_a,L1_b,60,-0.45429717555196303,-2.13092740371294,0.7357324220651517,0.7095,False
L1_a,L1_c,60,-0.4952120189063041,-2.1662175988663472,0.6571455567879165,0.726,False
