prompt_level,prompt_id,prompt_hash,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L1,L1_a,2b888ddda7917baf9e2bc9c825461b0bd3d26c001bd6d476af6f3897deefed16,60,60,1.0,0.0,0.0,1.484548825710754,0.9413221566012574,2.156675943361988,1.0,1.5124255406755522,0.05,0.0,0.0,0.6666666666666666,2.2889533333333327,10.167016666666667,809,1201
L1,L1_b,90140043971620d1f647d8479139bcce48c2e3079c86e8a5530c894c4b5c8315,60,60,1.0,0.0,0.0,1.9295426452410382,0.9817108020575348,1.7738892579429664,1.0,0.9236683379213494,0.05,0.0,0.0,0.6833333333333333,1.8839750000000002,9.976966666666668,809,1561
L1,L1_c,33ddc847dc650e0134461f42468ad735602cc3c14a7b7463c90a7a0d9832b9d4,60,60,1.0,0.0,0.0,1.9728059332509271,0.9746618403505429,1.8095723994712754,0.9393382352941176,0.9269755240977088,0.06666666666666667,0.0,0.0,0.6666666666666666,1.9543199999999998,10.106433333333333,809,1596
