prompt_id,prompt_hash,speech_condition,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L3_a,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,clean,19,19,1.0,0.0,0.0,1.5319148936170213,1.1149966375252185,1.4779905981531367,0.95,1.1964611997258356,0.10526315789473684,0.0,0.0,1.0,1.6206631578947368,11.451421052631577,235,360
L3_a,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,codeswitched,19,19,1.0,0.0,0.0,2.5,0.9776507276507277,2.2567464784957045,0.8571428571428571,0.9923814788261256,0.05263157894736842,0.0,0.0,0.10526315789473684,2.4058842105263163,12.73921052631579,308,770
L3_a,822aae8d38ebe7c31afc43db97a0554fa63c16c5725e34cc09f6aa2ebadd5cd5,noisy,19,19,1.0,0.0,0.0,1.0360360360360361,0.461038961038961,1.125274738908808,1.0,0.625312043423622,0.05263157894736842,0.0,0.0,1.0,1.2984684210526318,8.404894736842106,222,230
