prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L3_a,babble,10.0,3,3,1.0,0.0,0.0,0.9375,0.2826086956521739,0.9338235294117648,1.0,0.2792383963234299,0.0,0.0,0.0,1.0,1.2966333333333333,12.070666666666668,48,45
L3_a,babble,15.0,4,4,1.0,0.0,0.0,1.2352941176470589,0.7424892703862661,1.871212121212121,1.3333333333333333,1.5728794048628503,0.25,0.0,0.0,1.0,1.9166499999999997,7.9037500000000005,34,42
L3_a,music,5.0,2,2,1.0,0.0,0.0,1.0,0.549618320610687,1.15625,1.15625,0.5847527472527473,0.0,0.0,0.0,1.0,1.25,7.181000000000001,22,22
L3_a,music,10.0,2,2,1.0,0.0,0.0,1.2195121951219512,0.6655052264808362,1.25,1.25,0.6453252032520325,0.0,0.0,0.0,1.0,1.01085,10.392,41,50
L3_a,music,15.0,3,3,1.0,0.0,0.0,0.8571428571428571,0.3541666666666667,0.6481481481481481,0.5,0.22291840712893343,0.0,0.0,0.0,1.0,1.0370333333333333,5.011,14,12
L3_a,noise,5.0,3,3,1.0,0.0,0.0,1.0263157894736843,0.2807017543859649,0.8623188405797101,1.0,0.26237388159147157,0.0,0.0,0.0,1.0,1.1605333333333334,8.988999999999999,38,39
L3_a,noise,10.0,2,2,1.0,0.0,0.0,0.8,0.4,0.875,0.875,0.4178316247281765,0.0,0.0,0.0,1.0,1.0,7.36,25,20
