prompt_id,noise_type,snr_db,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0_a,babble,10.0,1,1,1.0,0.0,0.0,1.3333333333333333,0.9230769230769231,1.3333333333333333,1.3333333333333333,0.9230769230769231,0.0,0.0,0.0,0.0,1.3333,3.13,12,16
L0_a,babble,15.0,2,2,1.0,0.0,0.0,1.2857142857142858,1.0157068062827226,1.3066666666666666,1.3066666666666666,1.0464544513457557,0.0,0.0,0.0,0.0,1.3066499999999999,3.5865,28,36
L0_a,music,5.0,1,1,1.0,0.0,0.0,1.25,0.967741935483871,1.25,1.25,0.967741935483871,0.0,0.0,0.0,0.0,1.25,3.242,8,10
L0_a,music,10.0,1,1,1.0,0.0,0.0,1.4444444444444444,1.0615384615384615,1.4444444444444444,1.4444444444444444,1.0615384615384615,0.0,0.0,0.0,0.0,1.4444,2.918,9,13
L0_a,music,15.0,1,1,1.0,0.0,0.0,1.5789473684210527,1.3162393162393162,1.5789473684210527,1.5789473684210527,1.3162393162393162,0.0,0.0,0.0,0.0,1.5789,3.891,19,30
L0_a,noise,5.0,2,2,1.0,0.0,0.0,1.0555555555555556,0.9509803921568627,1.1666666666666665,1.1666666666666665,0.9920634920634921,0.0,0.0,0.0,0.0,1.1333,2.8045,18,19
L0_a,noise,10.0,1,1,1.0,0.0,0.0,1.1666666666666667,1.0724637681159421,1.1666666666666667,1.1666666666666667,1.0724637681159421,0.0,0.0,0.0,0.0,1.1667,3.334,12,14
L0_a,noise,15.0,1,1,1.0,0.0,0.0,1.1923076923076923,1.080536912751678,1.1923076923076923,1.1923076923076923,1.080536912751678,0.0,0.0,0.0,0.0,1.1923,4.125,26,31
