winner,challenger,n_paired,mean_delta_wer,ci95_low,ci95_high,winner_better_probability,stable_direction_95pct
L2_b,L2_a,30,-0.11796706084002216,-0.2338821271277228,-0.03181385925742176,1.0,True
L2_b,L2_c,30,-0.1502023003611895,-0.2635875404883518,-0.05725209874490907,1.0,True
