prompt_level,prompt_id,prompt_hash,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2,L2_a,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,30,30,1.0,0.0,0.0,0.8841607565011821,0.3823641201064234,0.9628720764959156,0.925,0.4088179517881752,0.0,0.0,0.0,0.6666666666666666,1.1070433333333332,6.8882666666666665,423,374
L2,L2_c,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,30,30,1.0,0.0,0.0,1.044917257683215,0.5134929684530597,1.2115265511062723,1.0,0.6200538180486568,0.06666666666666667,0.0,0.0,0.6666666666666666,1.34427,7.014799999999999,423,442
L2,L2_b,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,30,30,1.0,0.0,0.0,1.2505910165484633,0.7711896617255797,1.4308133746676057,0.9266666666666667,0.8673213745821738,0.03333333333333333,0.0,0.0,0.6666666666666666,1.56418,8.853433333333333,423,529
