prompt_level,prompt_id,prompt_hash,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L2,L2_c,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,60,60,1.0,0.0,0.0,0.8158220024721878,0.32996761287864357,0.8507904950077517,0.8944444444444444,0.35482640911339686,0.0,0.0,0.0,0.7333333333333333,1.1239183333333331,7.8334,809,660
L2,L2_b,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,60,60,1.0,0.0,0.0,0.8380716934487021,0.4065536292627167,1.319673933096163,0.8125,1.1217867625904363,0.016666666666666666,0.0,0.0,0.7333333333333333,1.6269033333333334,9.222616666666669,809,678
L2,L2_a,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,60,60,1.0,0.0,0.0,1.0939431396786157,0.44046485044770434,1.0470219614612366,0.8888888888888888,0.46760213096805925,0.016666666666666666,0.0,0.0,0.6833333333333333,1.3266483333333332,8.630183333333331,809,885
