prompt_level,prompt_id,n_expected,n_scored,coverage,failure_rate,empty_output_rate,corpus_wer,corpus_cer,macro_utterance_wer,median_utterance_wer,macro_utterance_cer,hallucination_proxy_rate,rejection_rate,meta_response_rate,script_presence_match_rate,mean_output_reference_word_ratio,mean_inference_seconds,total_ref_words,total_word_edits
L0,L0_a,57,57,1.0,0.0,0.017543859649122806,1.4013071895424836,0.6901636033124622,2.5200760477087782,1.0,1.5111027477887622,0.03508771929824561,0.0,0.0,0.6140350877192983,2.6962526315789477,8.092456140350876,765,1072
L1,L1_b,57,57,1.0,0.0,0.0,0.7372549019607844,0.31912744900020196,0.782882496800836,0.8125,0.3651747882383632,0.017543859649122806,0.0,0.0,0.6842105263157895,1.0930771929824563,7.296333333333333,765,564
L2,L2_c,57,57,1.0,0.0,0.0,0.8091503267973856,0.324782872147041,0.8470954857452295,0.8888888888888888,0.3514716105710938,0.0,0.0,0.0,0.7368421052631579,1.1252947368421053,7.775052631578947,765,619
L3,L3_a,57,57,1.0,0.0,0.0,1.1150326797385621,0.8713391234094122,1.6688565952684695,1.0,1.580210145963578,0.17543859649122806,0.0,0.0,0.6842105263157895,1.6661666666666668,11.672491228070175,765,853
L4,L4_a,57,57,1.0,0.0,0.0,1.1503267973856208,0.7832761058372046,1.642981131268586,1.0,1.410827077722221,0.24561403508771928,0.0,0.0,0.6842105263157895,1.730724561403509,18.574333333333335,765,880
